tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
14,B,0.14927969497462212,1.0,0.4444444444444444,0.6641206863071002,True,0.35,0.3843826681015291,0.0,0.6269418398544981,0.8507203050253779
15,A,0.09464056931129927,1.0,0.4444444444444444,0.7870587190495766,True,0.47,0.4071109089248336,0.0,0.6988186920688797,0.9053594306887007
15,B,0.15323230694177647,1.0,0.4444444444444444,0.6552273093810029,True,0.37,0.38161545186806134,0.0,0.6066753531126864,0.8467676930582235
16,A,0.08158266217667687,1.0,0.4444444444444444,0.816439010102477,True,0.56,0.39812215287618125,0.0,0.6919389171795095,0.9184173378233231
16,B,0.14621264906354525,1.0,0.4444444444444444,0.6710215396070232,True,0.43999999999999995,0.3709525866619273,0.0,0.5849374615509613,0.8537873509364547
17,A,0.09406771895741173,1.0,0.4444444444444444,0.7883476323458236,True,0.51,0.3990328159685631,0.0,0.6805567063413289,0.9059322810425883
17,B,0.17612644286128387,1.0,0.4444444444444444,0.6037155035621112,True,0.35,0.3797039544461299,0.0,0.5631702633116382,0.8238735571387161
18,A,0.11324070483295123,1.0,0.4444444444444444,0.7452084141258597,True,0.43999999999999995,0.3886678492788359,0.0,0.6692214795082998,0.8867592951670488
18,B,0.19078844876905499,1.0,0.4444444444444444,0.5707259902696262,True,0.32999999999999996,0.38227594105098983,0.0,0.5390192843641713,0.809211551230945
19,A,0.11770679933731343,1.0,0.4444444444444444,0.7351597014910448,True,0.43000000000000005,0.4006069568321249,0.0,0.6554795570520286,0.8822932006626866
19,B,0.18645617453346452,1.0,0.4444444444444444,0.5804736072997048,True,0.39,0.36915309925021134,0.0,0.5154674461781004,0.8135438254665355
20,A,0.1275572390057168,1.0,0.4444444444444444,0.7129962122371372,True,0.42000000000000004,0.38755683863096346,0.0,0.6409033719044699,0.8724427609942832
20,B,0.19608221949236126,1.0,0.4444444444444444,0.5588150061421872,True,0.39,0.3715836654467152,0.0,0.48848200820338294,0.8039177805076387
21,A,0.12527464673542865,1.0,0.4444444444444444,0.7181320448452855,True,0.44999999999999996,0.3916838597543376,0.0,0.6255695519084481,0.8747253532645713
21,B,0.18512763586447634,1.0,0.4444444444444444,0.5834628193049283,True,0.48,0.3465379913002411,0.0,0.4551868668491522,0.8148723641355237
22,A,0.0997523670292384,1.0,0.4444444444444444,0.7755571741842135,True,0.5900000000000001,0.3741684423105589,0.0,0.6112397126998075,0.9002476329707616
22,B,0.2093756437787616,1.0,0.4444444444444444,0.5289048014977864,True,0.44999999999999996,0.34200328113888145,0.0,0.42145153953418557,0.7906243562212384
23,A,0.13445540295281044,1.0,0.4444444444444444,0.6974753433561764,True,0.47,0.3744723753449639,0.0,0.5944392708899013,0.8655445970471896
23,B,0.28519500076455606,1.0,0.4444444444444444,0.3583112482797488,True,0.31999999999999995,0.3198448456201709,0.0,0.383369500049633,0.7148049992354439
24,A,0.11570404274964208,1.0,0.4444444444444444,0.7396659038133053,True,0.5700000000000001,0.3649394809763118,0.0,0.5762936584392244,0.8842959572503579
24,B,0.28448084855110345,1.0,0.4444444444444444,0.3599180907600172,True,0.32999999999999996,0.34285820764570585,0.0,0.35387113350624066,0.7155191514488966
25,A,0.14627681988626362,1.0,0.4444444444444444,0.6708771552559069,True,0.47,0.37390923911949825,0.0,0.5591789289507174,0.8537231801137364
25,B,0.2879824909717299,1.0,0.4444444444444444,0.3520393953136077,True,0.38,0.3058077252930095,0.0,0.3308944717655715,0.7120175090282701
26,A,0.1492359465205838,1.0,0.4444444444444444,0.6642191203286865,True,0.49,0.3607093626224097,0.0,0.5422746934291418,0.8507640534794162
26,B,0.2915950864593163,1.0,0.4444444444444444,0.3439110554665383,True,0.39,0.32059631844253267,0.0,0.29640544366098664,0.7084049135406837
27,A,0.1497026675587816,1.0,0.4444444444444444,0.6631689979927414,True,0.51,0.3602408814647031,0.0,0.5224520616781325,0.8502973324412184
27,B,0.28390118824077437,1.0,0.4444444444444444,0.36122232645825764,True,0.43999999999999995,0.3166500547281331,0.0,0.2581159754522001,0.7160988117592256
28,A,0.18334937061332046,1.0,0.4444444444444444,0.5874639161200289,True,0.43000000000000005,0.35869831349299486,0.0,0.4984177193864344,0.8166506293866795
