case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,27,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9831270205,3.2000000000,3.1730032327,100,100,1.0000000000,8.7985932655,20.0000000000,19.8312702047,0.4399296633,0.4436727035,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,28,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9818038475,3.2000000000,3.1708861560,100,100,1.0000000000,8.7169006008,20.0000000000,19.8180384747,0.4358450300,0.4398467897,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,28,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9920034089,3.2000000000,3.1872054543,100,100,1.0000000000,8.7968199428,20.0000000000,19.9200340892,0.4398409971,0.4416066711,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,29,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9996356751,3.2000000000,3.1994170802,100,100,1.0000000000,8.7026501609,20.0000000000,19.9963567510,0.4351325080,0.4352117873,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,29,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9881934166,3.2000000000,3.1811094666,100,100,1.0000000000,8.7834839839,20.0000000000,19.8819341663,0.4391741992,0.4417821682,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,30,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9881805984,3.2000000000,3.1810889575,100,100,1.0000000000,8.6988646125,20.0000000000,19.8818059842,0.4349432306,0.4375288955,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,30,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9837662196,3.2000000000,3.1740259514,100,100,1.0000000000,8.7763869699,20.0000000000,19.8376621964,0.4388193485,0.4424103447,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,31,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9626740996,3.2000000000,3.1402785593,100,100,1.0000000000,8.6884953685,20.0000000000,19.6267409957,0.4344247684,0.4426866065,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,31,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9808271555,3.2000000000,3.1693234487,100,100,1.0000000000,8.7674011612,20.0000000000,19.8082715546,0.4383700581,0.4426131345,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,32,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9923648108,3.2000000000,3.1877836973,100,100,1.0000000000,8.6834431411,20.0000000000,19.9236481081,0.4341721571,0.4358360022,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
