tick,cohesion_v1_A,cohesion_v2_A,cohesion_v1_B,cohesion_v2_B
38,1.0,0.20579970829556038,1.0,0.35646337189989763
39,1.0,0.21078276196388623,1.0,0.3235485952037378
40,1.0,0.19513970736957964,1.0,0.2859298383450919
41,1.0,0.17277237466571793,1.0,0.26496011928354213
42,1.0,0.167221882531277,1.0,0.2507933679626686
43,1.0,0.17012342365510358,1.0,0.23278745039373006
44,1.0,0.1574401904243694,1.0,0.21984367058861953
45,1.0,0.1500567599288971,1.0,0.256175528824787
46,1.0,0.14276821019079988,1.0,0.22447902656524266
47,1.0,0.14086280160510922,1.0,0.21778171330388096
48,1.0,0.128102316165967,1.0,0.16579028045593835
49,1.0,0.13739336735265684,1.0,0.1878737690794765
50,1.0,0.12335808385800706,1.0,0.1801759733774536
51,1.0,0.12133074541977007,1.0,0.20586637127423035
52,1.0,0.11505326602541,1.0,0.17988868365486987
53,1.0,0.12222369697074376,1.0,0.18204080308704684
54,1.0,0.11502661602972042,1.0,0.17550538700065554
55,1.0,0.10957930027254748,1.0,0.16552642648051974
56,1.0,0.1048497280873254,1.0,0.16054390669426644
57,1.0,0.10608276933493532,1.0,0.14458995641889316
58,1.0,0.10532741111336608,1.0,0.14902997011016694
59,1.0,0.0998803945771044,1.0,0.15987343886324568
60,1.0,0.09792535202550146,1.0,0.13916215143075372
61,1.0,0.09533859583913074,1.0,0.10556689653213092
62,1.0,0.09337727975200982,1.0,0.14841087293621458
63,1.0,0.09448099290960166,1.0,0.13444851903128874
64,1.0,0.08594958472903558,1.0,0.11928918543232336
65,1.0,0.08802651553309715,1.0,0.14680609011158297
66,1.0,0.08344167593901419,1.0,0.12000126253836252
67,1.0,0.08423164685623563,1.0,0.12331930830008786
68,1.0,0.08372505613885117,1.0,0.1160438884287548
69,1.0,0.08495535772487306,1.0,0.1114272298611586
70,1.0,0.07825190206246213,1.0,0.11401114302668991
71,1.0,0.07884287928003542,1.0,0.11614083792770469
72,1.0,0.07868939561838573,1.0,0.1165844807108426
73,1.0,0.07585611428010275,1.0,0.1028845183608994
74,1.0,0.0779523319394051,1.0,0.10625700787108894
75,1.0,0.07772417486044436,1.0,0.10501392484650163
76,1.0,0.07796449287359342,1.0,0.09739754975434645
77,1.0,0.07601792248667405,1.0,0.10102615588220165
78,1.0,0.0744338586257367,1.0,0.09455103455190239
79,1.0,0.07255364681751786,1.0,0.10170936733305891
80,1.0,0.07363062666748565,1.0,0.10151364741437963
