tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
27,A,0.7000000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
27,B,0.6600000000,1.0000000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
28,A,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,0
28,B,0.7600000000,0.9900000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,0
29,A,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,0
29,B,0.7900000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,0
30,A,0.8000000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
30,B,0.7400000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,0
31,A,0.7900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
31,B,0.7300000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
32,A,0.7400000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
32,B,0.7500000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
33,A,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
33,B,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
34,A,0.6900000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
34,B,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
35,A,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
35,B,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
36,A,0.7400000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
36,B,0.6700000000,0.9100000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
37,A,0.7200000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
37,B,0.7000000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
38,A,0.7500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
38,B,0.7500000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
39,A,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
39,B,0.7500000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
40,A,0.7600000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
40,B,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
41,A,0.7700000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
41,B,0.7500000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
42,A,0.7300000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
42,B,0.7000000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
43,A,0.6600000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
43,B,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
44,A,0.6500000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
44,B,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
45,A,0.7100000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
45,B,0.6400000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
46,A,0.7400000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
46,B,0.7100000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
47,A,0.6100000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
47,B,0.7200000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
