seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,2,2,reuenthal,-1.0,0.0,-1.0,0.0,0.0,0.0,-61.84914841849149,-18.76317923763179,-0.38012073362437016,-0.43089390812006295,-0.14898542780726975,-0.15194575468367644,-0.029368484911432846,-0.050000000000000044,0.0,-0.02433398536474307,-0.02963006691500114,0.00827528445248027,0.008689842159854133,-0.004972217490645692,-0.006569022894699961,False,False,False,False,False,False,True
SP01,2,2,5,bittenfeld,-1.0,0.0,-1.0,-1.0,0.0,0.0,-40.42388508206798,-0.24813895781637996,-0.4558607472509698,-0.17565434737911922,-0.24946006934474485,-0.15621439645720447,-0.05460793322928126,-0.0412459799575533,1.0,-0.0029442077917263276,-0.08147346609055273,-0.02071664700736875,0.011992599228272116,-0.0028767933154913994,0.0021220918034263736,False,False,False,False,False,False,True
SP01,2,2,5,kircheis,0.0,-1.0,0.0,1.0,0.0,0.0,-52.83255683187404,-5.213270142180093,-0.5021888480719576,-0.3411492458219699,-0.2897260006367717,-0.15802730638314022,-0.05547980840076383,-0.050448751749700094,-1.0,-0.002455338235418214,-0.1695759925645135,0.009520819361091393,-0.03271538223460224,-0.0016241604171449708,0.01491866861810065,False,False,False,False,False,False,True
SP01,2,2,5,mittermeyer,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-21.663520033564097,-0.6607929515418505,-0.4066534481095444,-0.28135732061741614,-0.19683142941978204,-0.18879701764295576,-0.03332284486256343,-0.04968480358487837,1.0,-0.026317236534922017,-0.0948270474031836,-0.02105243809652846,0.03994234533565455,0.0004048929407396429,-0.007591437655658284,False,False,False,False,False,False,True
SP01,2,2,5,muller,-1.0,-1.0,-1.0,7.0,0.0,0.0,-70.79968511168695,-46.262341325811,-0.5015629927382463,-0.6007813443717988,-0.33265137359532954,-0.2517551577374493,-0.14049607674972242,-0.04374596650946305,-7.0,-0.004303137103808474,-0.1947284383758059,-0.028075213944112498,-0.024175255514026217,-0.0013932972376469177,0.015853815210030486,False,False,False,False,False,False,True
SP01,2,2,5,reinhard,-1.0,0.0,-1.0,0.0,0.0,0.0,-29.261698886433365,-0.4784688995215305,-0.4173389633558579,-0.19468152430375363,-0.2078686540289717,-0.13041946760961087,-0.04391216841054735,-0.041979745492075726,0.0,-0.027254437454089064,-0.10282619175721797,-0.04663071175469491,0.005304328936623137,-0.0035515974527648986,-0.0011801852773203336,False,False,False,False,False,False,True
SP01,2,2,5,reuenthal,0.0,0.0,0.0,0.0,0.0,0.0,-2.9626188394611006,-27.631477870894344,-0.34045533645246007,-0.4618251601104029,-0.15137413675048061,-0.1889939260343455,-0.050000000000000044,-0.04874322134592568,0.0,-0.023603635992238026,-0.018013999581051543,-0.0008271664805667989,-0.012734114037610822,-0.003960648894853369,0.001021545567972959,False,False,False,False,False,False,True
SP01,2,2,8,bittenfeld,0.0,-1.0,0.0,3.0,0.0,0.0,-5.537796064778192,-0.22471910112359694,-0.3155201453663807,-0.22852506678318318,-0.24773279244549717,-0.20320330530540187,-0.029918660677612174,-0.05014953269418432,-3.0,0.007257616491440189,-0.08063229833966723,0.030444855748921862,0.008639685877683045,-0.003263490722682505,0.008795709930573103,False,False,False,False,False,False,True
SP01,2,2,8,kircheis,0.0,-1.0,0.0,24.0,0.0,0.0,0.4900684012069405,-13.914656771799628,-0.3620015091729945,-0.4577914873405219,-0.2781080084400749,-0.21783455484757863,-0.06409689294976195,-0.060051774372190114,-24.0,-0.014761826024057623,-0.1451685747452629,0.03936221866281597,-0.035405468410424024,0.0012439933901995381,0.019259163297306037,False,False,False,False,False,False,True
SP01,2,2,8,mittermeyer,0.0,0.0,0.0,1.0,0.0,0.0,1.7897091722595064,-0.956937799043061,-0.2023393908869111,-0.2839203793287831,-0.15339795030702097,-0.18997491884367745,-0.023130513919469742,-0.05899964485811715,-1.0,-0.015828972489767335,-0.09334425242524258,0.06931638121567207,-0.052284017801902505,-0.0005725415269755008,-0.003128040578807667,False,False,False,False,False,False,True
