origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.0,75,1.0,7.0,,0.21756848528895575,0.3113555003873737,0.38991545988811904,0.004052114901891268,0.0016203675917081822,0.002091294834375107,75,75,0.0,120
10.0,190.0,1.0,75,2.0,3.0,119,0.11719387034457192,0.10085439279578595,0.34958882937777674,0.0038006505155329393,0.001436288181053177,0.0023659249030595006,75,75,0.0,120
10.0,190.0,1.0,75,2.0,5.0,118,0.11719387034457192,0.10085439279578595,0.34958882937777674,0.0038006505155329393,0.001436288181053177,0.0023659249030595006,75,75,0.0,120
10.0,190.0,1.0,75,2.0,7.0,117,0.11719387034457192,0.10085439279578595,0.34958882937777674,0.0038006505155329393,0.001436288181053177,0.0023659249030595006,75,75,0.0,120
10.0,190.0,1.0,75,3.0,3.0,118,0.10513838158151455,0.29587887225896536,0.10688133045932749,0.006894857783310626,0.003906620076308016,0.003651905917033813,75,75,0.0,120
10.0,190.0,1.0,75,3.0,5.0,116,0.10513838158151455,0.29587887225896536,0.10688133045932749,0.006894857783310626,0.003906620076308016,0.003651905917033813,75,75,0.0,120
10.0,190.0,1.0,75,3.0,7.0,115,0.10513838158151455,0.29587887225896536,0.10688133045932749,0.006894857783310626,0.003906620076308016,0.003651905917033813,75,75,0.0,120
10.0,190.0,1.0,100,1.0,3.0,,0.16930916537352583,0.3040031973867228,0.3235659507981195,0.004715868108746979,0.0018598089730270547,0.0023493757237104222,100,100,0.0,120
10.0,190.0,1.0,100,1.0,5.0,,0.16930916537352583,0.3040031973867228,0.3235659507981195,0.004715868108746979,0.0018598089730270547,0.0023493757237104222,100,100,0.0,120
10.0,190.0,1.0,100,1.0,7.0,,0.16930916537352583,0.3040031973867228,0.3235659507981195,0.004715868108746979,0.0018598089730270547,0.0023493757237104222,100,100,0.0,120
10.0,190.0,1.0,100,2.0,3.0,118,0.25278471607059877,0.4196458101806062,0.5239364334722129,0.007383379898549023,0.008742735415486848,0.003922909013183462,100,100,0.0,120
10.0,190.0,1.0,100,2.0,5.0,117,0.25278471607059877,0.4196458101806062,0.5239364334722129,0.007383379898549023,0.008742735415486848,0.003922909013183462,100,100,0.0,120
10.0,190.0,1.0,100,2.0,7.0,116,0.25278471607059877,0.4196458101806062,0.5239364334722129,0.007383379898549023,0.008742735415486848,0.003922909013183462,100,100,0.0,120
10.0,190.0,1.0,100,3.0,3.0,115,0.1564935481247977,0.22268551641029122,0.15763862658843258,0.0038076878344116293,0.0013984872189924213,0.0014047525786963187,100,100,0.0,120
10.0,190.0,1.0,100,3.0,5.0,114,0.1564935481247977,0.22268551641029122,0.15763862658843258,0.0038076878344116293,0.0013984872189924213,0.0014047525786963187,100,100,0.0,120
10.0,190.0,1.0,100,3.0,7.0,113,0.1564935481247977,0.22268551641029122,0.15763862658843258,0.0038076878344116293,0.0013984872189924213,0.0014047525786963187,100,100,0.0,120
10.0,190.0,1.0,125,1.0,3.0,,0.2859376113860272,0.222996737757396,0.28764397682146753,0.004754778510004458,0.002555928759911497,0.001932185616018204,125,125,0.0,120
10.0,190.0,1.0,125,1.0,5.0,,0.2859376113860272,0.222996737757396,0.28764397682146753,0.004754778510004458,0.002555928759911497,0.001932185616018204,125,125,0.0,120
10.0,190.0,1.0,125,1.0,7.0,120,0.2859376113860272,0.222996737757396,0.28764397682146753,0.004754778510004458,0.002555928759911497,0.001932185616018204,125,125,0.0,120
10.0,190.0,1.0,125,2.0,3.0,117,0.19550933014944877,0.1805433608851928,0.16484211203242177,0.009694552357707045,0.002245385802376415,0.0020796327469377943,125,125,0.0,120
10.0,190.0,1.0,125,2.0,5.0,116,0.19550933014944877,0.1805433608851928,0.16484211203242177,0.009694552357707045,0.002245385802376415,0.0020796327469377943,125,125,0.0,120
10.0,190.0,1.0,125,2.0,7.0,115,0.19550933014944877,0.1805433608851928,0.16484211203242177,0.009694552357707045,0.002245385802376415,0.0020796327469377943,125,125,0.0,120
10.0,190.0,1.0,125,3.0,3.0,115,0.11593377977626469,0.15763036759560492,0.16558196021320265,0.005748149230970853,0.004953310803547438,0.002154802775713468,125,125,0.0,120
10.0,190.0,1.0,125,3.0,5.0,113,0.11593377977626469,0.15763036759560492,0.16558196021320265,0.005748149230970853,0.004953310803547438,0.002154802775713468,125,125,0.0,120
10.0,190.0,1.0,125,3.0,7.0,112,0.11593377977626469,0.15763036759560492,0.16558196021320265,0.005748149230970853,0.004953310803547438,0.002154802775713468,125,125,0.0,120
10.0,190.0,1.0,150,1.0,3.0,,0.19006961370084655,0.25642711805947854,0.41670267250527365,0.00416914282456812,0.0020320676313934005,0.0017416877092386977,150,150,0.0,120
10.0,190.0,1.0,150,1.0,5.0,120,0.19006961370084655,0.25642711805947854,0.41670267250527365,0.00416914282456812,0.0020320676313934005,0.0017416877092386977,150,150,0.0,120
10.0,190.0,1.0,150,1.0,7.0,119,0.19006961370084655,0.25642711805947854,0.41670267250527365,0.00416914282456812,0.0020320676313934005,0.0017416877092386977,150,150,0.0,120
10.0,190.0,1.0,150,2.0,3.0,115,0.08010528525418532,0.13770877907171,0.19301434835623626,0.0047520315950642655,0.0026468379100462167,0.00114595016759122,150,150,0.0,120
10.0,190.0,1.0,150,2.0,5.0,114,0.08010528525418532,0.13770877907171,0.19301434835623626,0.0047520315950642655,0.0026468379100462167,0.00114595016759122,150,150,0.0,120
10.0,190.0,1.0,150,2.0,7.0,113,0.08010528525418532,0.13770877907171,0.19326549188978273,0.0047520315950642655,0.0026468379100462167,0.0011404614827639516,149,149,0.0,120
10.0,190.0,1.0,150,3.0,3.0,113,0.09365050842648408,0.07099917076018471,0.14126547438743986,0.003443203694217589,0.0019424432476714405,0.0036886316108254787,150,150,0.0,120
10.0,190.0,1.0,150,3.0,5.0,111,0.09365050842648408,0.07099917076018471,0.14126547438743986,0.003443203694217589,0.0019424432476714405,0.0036886316108254787,150,150,0.0,120
10.0,190.0,1.0,150,3.0,7.0,110,0.09365050842648408,0.07099917076018471,0.14043831375738566,0.003443203694217589,0.0019424432476714405,0.0037061393213878324,149,149,0.0,120
10.0,190.0,1.5,50,1.0,3.0,,0.09778085345950281,0.14341842213539713,0.3706717577702344,0.006777087720882412,0.0028715716842843122,0.0036185303035901335,50,50,0.0,120
10.0,190.0,1.5,50,1.0,5.0,,0.09778085345950281,0.14341842213539713,0.3706717577702344,0.006777087720882412,0.0028715716842843122,0.0036185303035901335,50,50,0.0,120
