cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_ar_p90_A,delta_wedge_p10_A,delta_split_p90_A,delta_persistent_outlier_p90,delta_max_persistence,delta_mirror_ar_gap,delta_mirror_wedge_gap,delta_jitter_ar_A,delta_jitter_wedge_A,cut_exists_v1,cut_exists_v3a,pocket_exists_v1,pocket_exists_v3a
5,5,2,reuenthal,-9.0,2.0,2.0,-1.0,0.2314889925592294,0.3770731036166718,-0.016533840560760904,0.0,0.0,-0.1734096295656553,0.15119602354243022,-0.008048826834489653,-0.004812573159534232,True,True,True,True
5,5,5,bittenfeld,-41.0,4.0,98.0,-38.0,0.17051446208047816,0.43166609417328883,-0.01646403480895331,-2.0,-43.0,0.08229101874881772,0.05270033187718348,-0.008035281298639969,-0.013065003462657186,True,True,True,True
5,5,5,kircheis,59.0,5.0,5.0,-5.0,0.19234391834909648,0.4063006629024941,-0.014978447299057063,-5.0,-60.0,0.06879051661778801,0.08332190340507828,-0.008893698174494927,-0.0038698046367590597,True,True,True,True
5,5,5,mittermeyer,-16.0,4.0,4.0,-19.0,0.1914194345132718,0.4071942629578176,-0.018239451851041144,0.0,-11.0,0.037784277890984486,0.14502153976133192,-0.009397578034011018,0.003731121699510922,True,True,True,True
5,5,5,muller,-17.0,6.0,6.0,-21.0,0.19715873647424909,0.5369507894174377,-0.02753974105714052,-6.0,-63.0,-0.24088103386643178,0.039467716064290226,-0.008965863575437154,-0.012538996190261222,True,True,True,True
5,5,5,reinhard,149.0,5.0,70.0,-31.0,0.174230963892005,0.41527094190282376,-0.0013725706480272049,-1.1000000000000085,-36.0,-0.015171251505893713,0.06501719533819872,-0.009714167877339351,-0.006342449014810627,True,True,True,True
5,5,5,reuenthal,20.0,3.0,3.0,0.0,0.1684110260700602,0.4137780984771863,-0.03219833505272818,0.0,0.0,-0.10492628393171533,0.12127194142249842,-0.006967551198702919,-0.01272980737416118,True,True,True,True
5,5,8,bittenfeld,-68.0,5.0,5.0,-3.0,0.16943949171291361,0.27331282365353493,-0.01123762208908996,-2.0,-39.0,0.0856948870807277,0.1187762023670691,-0.008525279483601883,-0.01149651432398585,True,True,True,True
5,5,8,kircheis,8.0,4.0,10.0,-30.0,0.17711490462186186,0.3641297832665369,-0.007622469868119541,-4.0,-54.0,0.11525289242970338,0.04318215772096878,-0.008703710838423457,0.001846290844281978,True,True,True,True
5,5,8,mittermeyer,-31.0,4.0,15.0,-23.0,0.17220607474272764,0.259708692828586,-0.024508680369209834,0.0,0.0,-0.0006704822242069586,0.1032251693701216,-0.008100235505432716,0.0034044929268523746,True,True,True,True
5,5,8,muller,-19.0,6.0,6.0,-2.0,0.17947867659796302,0.33064500572654254,-0.01240260853539965,-4.0,-63.0,-0.20713677189372692,0.08420968892864733,-0.008396709992986183,0.0003650117469446972,True,True,True,True
5,5,8,reinhard,71.0,4.0,41.0,-43.0,0.16152268194853692,0.437871094996909,-0.02806928919434526,-0.20000000000001705,-29.0,-0.049982317281559,0.06606805426891893,-0.007201364671071384,-0.00013461438491872701,True,True,True,True
5,5,8,reuenthal,-3.0,3.0,27.0,-1.0,0.1675856506804969,0.43098569506452733,-0.02448393895473111,0.0,0.0,-0.10201149664258669,0.14011385365986073,-0.0067178141914748055,-0.008842120027989708,True,True,True,True
5,8,2,bittenfeld,-28.0,5.0,5.0,-29.0,0.22939779049016118,0.44187395779690763,-0.30275406953083284,-8.0,-67.0,-0.14455409055241009,-0.08321484623742503,-0.010036990433377302,-0.013133167597425426,True,True,True,True
5,8,2,kircheis,47.0,4.0,4.0,-21.0,0.15755529555227055,0.3949927995166431,-0.3631730451181836,-10.0,-64.0,-0.12148441378245156,-0.1800502142695175,-0.008892095414673269,-0.007073862406408081,True,True,True,True
5,8,2,mittermeyer,29.0,5.0,5.0,-68.0,0.1778537462659533,0.5245655756350803,-0.16383281204437083,-5.0,-59.0,-0.022296081124412392,-0.10196942512819529,-0.009919235567375555,-0.013862036289627813,True,True,True,True
