tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
137,1.0,1.0,0.23863739913203796,0.15296895904402263,0.0,0.0,0.8470310409559774,0.761362600867962,93,97,3,4
138,1.0,1.0,0.22830981946847362,0.1639494820962385,0.0,0.0,0.8360505179037615,0.7716901805315264,93,97,3,4
139,1.0,1.0,0.24341168797323953,0.1604678791575217,0.0,0.0,0.8395321208424783,0.7565883120267605,93,97,3,3
140,1.0,1.0,0.20806021066284486,0.18305499520075164,0.0,0.0,0.8169450047992484,0.7919397893371551,92,97,2,4
141,1.0,1.0,0.2393055905494592,0.15859073422480297,0.0,0.0,0.841409265775197,0.7606944094505408,91,96,3,4
142,1.0,1.0,0.22413572713546615,0.16217391236589718,0.0,0.0,0.8378260876341028,0.7758642728645339,91,96,2,4
143,1.0,1.0,0.205704377978302,0.1608353174111965,0.0,0.0,0.8391646825888035,0.794295622021698,91,96,3,5
144,1.0,1.0,0.18838234629457706,0.14365285253418347,0.0,0.0,0.8563471474658165,0.8116176537054229,91,96,3,4
145,1.0,1.0,0.2340338416858041,0.12863084935688918,0.0,0.0,0.8713691506431108,0.7659661583141959,90,96,3,4
146,1.0,1.0,0.18185355814137272,0.14353502168710142,0.0,0.0,0.8564649783128986,0.8181464418586273,90,94,3,3
147,1.0,1.0,0.1845678133421207,0.18661920243479835,0.0,0.0,0.8133807975652017,0.8154321866578793,90,93,3,3
148,1.0,1.0,0.2182151156792448,0.2019412058407074,0.0,0.0,0.7980587941592926,0.7817848843207552,89,92,3,3
149,1.0,1.0,0.23631735220442018,0.1718108585472239,0.0,0.0,0.8281891414527761,0.7636826477955798,89,91,3,3
150,1.0,1.0,0.24356627110412554,0.1694886034099533,0.0,0.0,0.8305113965900467,0.7564337288958745,88,91,3,3
151,1.0,1.0,0.20629606143866308,0.1785672884393329,0.0,0.0,0.8214327115606671,0.7937039385613369,88,91,3,3
152,1.0,1.0,0.21151473788532382,0.1714948666406606,0.0,0.0,0.8285051333593394,0.7884852621146762,88,91,3,3
153,1.0,1.0,0.20378173252792287,0.19682717290251217,0.0,0.0,0.8031728270974878,0.7962182674720771,88,90,3,3
154,1.0,1.0,0.17873411700372166,0.19621247427059463,0.0,0.0,0.8037875257294054,0.8212658829962783,86,90,3,3
155,1.0,1.0,0.17003137863537565,0.22799341536259055,0.0,0.0,0.7720065846374095,0.8299686213646243,86,89,3,3
156,1.0,1.0,0.16309689137764516,0.1769640682218907,0.0,0.0,0.8230359317781093,0.8369031086223548,86,89,3,3
157,1.0,1.0,0.15910748502648908,0.17212279383026186,0.0,0.0,0.8278772061697381,0.8408925149735109,85,87,3,3
158,1.0,1.0,0.14518930512078787,0.17115982222253,0.0,0.0,0.82884017777747,0.8548106948792121,85,86,3,4
159,1.0,1.0,0.14569236647103678,0.17432326284084443,0.0,0.0,0.8256767371591556,0.8543076335289632,85,85,3,4
160,1.0,1.0,0.16029047017953768,0.22061433721841905,0.0,0.0,0.779385662781581,0.8397095298204623,84,85,3,4
161,1.0,1.0,0.16665685749035264,0.24655310926907237,0.0,0.0,0.7534468907309276,0.8333431425096474,83,84,2,4
162,1.0,1.0,0.16912366388270328,0.2230635089134736,0.0,0.0,0.7769364910865264,0.8308763361172967,83,84,2,4
163,1.0,1.0,0.14646820037441777,0.20741370815156324,0.0,0.0,0.7925862918484368,0.8535317996255822,83,83,2,4
164,1.0,1.0,0.15294258247339765,0.2122105322868164,0.0,0.0,0.7877894677131836,0.8470574175266024,83,83,2,4
165,1.0,1.0,0.1537221290906634,0.18281937516142022,0.0,0.0,0.8171806248385798,0.8462778709093366,83,82,2,5
166,1.0,1.0,0.17582067597726314,0.18729993491568986,0.0,0.0,0.8127000650843101,0.8241793240227369,81,81,2,5
167,1.0,1.0,0.1398197224301706,0.19126725961783342,0.0,0.0,0.8087327403821666,0.8601802775698294,81,81,2,5
168,1.0,1.0,0.1430167757330726,0.1901800607843661,0.0,0.0,0.8098199392156339,0.8569832242669274,80,80,2,5
169,1.0,1.0,0.1275091087471839,0.18390988491921112,0.0,0.0,0.8160901150807889,0.8724908912528161,80,80,2,5
170,1.0,1.0,0.14172024400429784,0.14292577101923953,0.0,0.0,0.8570742289807605,0.8582797559957022,80,79,2,5
171,1.0,1.0,0.167184596631341,0.17952306655990546,0.0,0.0,0.8204769334400945,0.832815403368659,80,79,2,5
172,1.0,1.0,0.18207581570188358,0.1448903455328049,0.0,0.0,0.8551096544671951,0.8179241842981164,80,79,3,4
173,1.0,1.0,0.18429869026410273,0.1416551831029852,0.0,0.0,0.8583448168970148,0.8157013097358973,78,77,3,4
174,1.0,1.0,0.15647067042367224,0.11981198655598824,0.0,0.0,0.8801880134440118,0.8435293295763278,77,77,3,4
175,1.0,1.0,0.1414474299638393,0.1388108991524849,0.0,0.0,0.8611891008475151,0.8585525700361607,77,77,2,4
176,1.0,1.0,0.1256994378359364,0.12838108761235778,0.0,0.0,0.8716189123876422,0.8743005621640636,76,76,2,4
177,1.0,1.0,0.16817765197856605,0.09900559076492377,0.0,0.0,0.9009944092350762,0.831822348021434,76,76,2,3
178,1.0,1.0,0.16299303719408398,0.0870041713278572,0.0,0.0,0.9129958286721428,0.837006962805916,75,76,2,3
179,1.0,1.0,0.19915991542024591,0.16802669081116006,0.0,0.0,0.8319733091888399,0.8008400845797541,75,75,2,3
180,1.0,1.0,0.2582694758812638,0.07453938854998277,0.0,0.0,0.9254606114500172,0.7417305241187362,74,75,2,3
181,1.0,1.0,0.19409867108721268,0.11175206869096,0.0,0.0,0.88824793130904,0.8059013289127873,74,74,2,3
182,1.0,1.0,0.1766115990421564,0.109476533520102,0.0,0.0,0.890523466479898,0.8233884009578436,73,74,2,3
183,1.0,1.0,0.19630460604698952,0.09385424478705717,0.0,0.0,0.9061457552129428,0.8036953939530105,73,73,2,3
184,1.0,1.0,0.16601990222221175,0.09348371480458983,0.0,0.0,0.9065162851954102,0.8339800977777883,72,73,2,3
185,1.0,1.0,0.150846513917814,0.1814763558973217,0.0,0.0,0.8185236441026783,0.849153486082186,71,73,2,3
186,1.0,1.0,0.16542164638573364,0.06993852547827906,0.0,0.0,0.9300614745217209,0.8345783536142664,71,72,3,3
187,1.0,1.0,0.14470262567276704,0.10621103476100213,0.0,0.0,0.8937889652389979,0.855297374327233,70,72,3,3
188,1.0,1.0,0.1775120964017658,0.13928707052333023,0.0,0.0,0.8607129294766698,0.8224879035982342,68,71,3,3
189,1.0,1.0,0.14604120769556772,0.1378703968230076,0.0,0.0,0.8621296031769924,0.8539587923044323,68,69,2,3
190,1.0,1.0,0.1507933395756451,0.12675022798041957,0.0,0.0,0.8732497720195804,0.8492066604243549,68,69,2,3
191,1.0,1.0,0.17415408482818595,0.1313508465532076,0.0,0.0,0.8686491534467924,0.825845915171814,67,67,2,3
192,1.0,1.0,0.2007803765173265,0.06126241470026472,0.0,0.0,0.9387375852997353,0.7992196234826735,67,67,2,3
193,1.0,1.0,0.1662598035162367,0.09312810566651653,0.0,0.0,0.9068718943334835,0.8337401964837633,66,67,2,3
194,1.0,1.0,0.14180804631091415,0.05574902195157094,0.0,0.0,0.9442509780484291,0.8581919536890859,66,67,2,3
195,1.0,1.0,0.169342249539988,0.10505375544518614,0.0,0.0,0.8949462445548139,0.830657750460012,65,67,2,3
196,1.0,1.0,0.13097674608336163,0.11901451215392433,0.0,0.0,0.8809854878460757,0.8690232539166384,64,64,2,2
197,1.0,1.0,0.17561641947863604,0.11975953162146391,0.0,0.0,0.8802404683785361,0.824383580521364,64,63,2,2
198,1.0,1.0,0.14366775064273107,0.10539003916642564,0.0,0.0,0.8946099608335744,0.8563322493572689,64,63,2,2
199,1.0,1.0,0.18068528051398536,0.09708095294515495,0.0,0.0,0.902919047054845,0.8193147194860146,63,63,2,2
200,1.0,1.0,0.15917831424281692,0.07107306277840442,0.0,0.0,0.9289269372215956,0.8408216857571831,63,63,2,2
201,1.0,1.0,0.13405566482332243,0.08405048982095598,0.0,0.0,0.915949510179044,0.8659443351766776,63,63,2,2
