tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
14,A4,65.442192,47.045399,65.307196,46.958230,-4.157094,-12.966178,-4.000000,-13.000000,-0.157094,0.033822,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A5,64.027949,48.459583,63.539153,47.838989,-4.784460,-11.093179,-4.000000,-11.000000,-0.784460,-0.093179,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A6,62.613707,49.873768,61.763235,49.405673,-4.932362,-8.729599,-4.000000,-9.000000,-0.932362,0.270401,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A7,61.199465,51.287953,60.881476,51.176242,-4.303840,-6.854134,-4.000000,-7.000000,-0.303840,0.145866,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A8,59.785222,52.702137,60.070844,53.021063,-3.572520,-4.976460,-4.000000,-5.000000,0.427480,0.023540,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A9,58.370980,54.116322,58.023331,53.488908,-4.689478,-3.197810,-4.000000,-3.000000,-0.689478,-0.197810,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A10,56.956737,55.530507,56.308505,54.518166,-5.174208,-1.257440,-4.000000,-1.000000,-1.174208,-0.257440,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A11,55.542495,56.944691,55.204086,56.406638,-4.619755,0.858843,-4.000000,1.000000,-0.619755,-0.141157,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A12,54.128252,58.358876,53.844998,58.109851,-4.376378,3.024211,-4.000000,3.000000,-0.376378,0.024211,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A13,52.714010,59.773060,52.881862,59.862668,-3.817950,4.944669,-4.000000,5.000000,0.182050,-0.055331,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A14,51.299767,61.187245,50.334762,60.451621,-5.202523,7.162221,-4.000000,7.000000,-1.202523,0.162221,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
14,A15,49.885525,62.601430,49.655980,62.332911,-4.352185,8.972449,-4.000000,9.000000,-0.352185,-0.027551,59.077985,59.066084,0.707092,0.707121,-0.707121,0.707092
