tick,legality_reference_surface_count,legality_feasible_surface_count,legality_middle_stage_active,legality_handoff_ready,expected_position_rms_error,projection_pairs_count,projection_mean_displacement,projection_max_displacement,corrected_unit_ratio
210,100,100,True,True,1.0998976892193548,3,4.282757259943537e-11,1.5881870263356745e-09,0.02
211,100,100,True,True,1.0998976966678373,2,8.458511668862913e-12,3.9778424998360156e-10,0.0
212,100,100,True,True,1.099897700459851,2,6.449747402825779e-12,3.04545832996439e-10,0.0
213,100,100,True,True,1.0998977068621634,1,4.667810582503762e-12,2.333905291251881e-10,0.0
214,100,100,True,True,1.099897712559876,1,1.9523198613313752e-11,9.761599306656876e-10,0.0
215,100,100,True,True,1.0998977196695063,1,1.5861354452084698e-11,7.930677226042349e-10,0.0
216,100,100,True,True,1.0998977248145436,2,1.1205643080103301e-11,5.491195276263738e-10,0.0
217,100,100,True,True,1.0998977295878578,1,1.6638912470057222e-13,8.31945623502861e-12,0.0
218,100,100,True,True,1.0998977322742687,2,9.075074025588492e-13,3.943745330303727e-11,0.0
219,100,100,True,True,1.0998977363709788,1,8.386402683413507e-14,4.193201341706754e-12,0.0
220,100,100,True,True,1.0998977414939108,1,5.8641091982281065e-12,2.9320545991140534e-10,0.0
221,100,100,True,True,1.0998977448644023,0,0.0,0.0,0.0
222,100,100,True,True,1.099897746721648,1,5.184741524999481e-15,2.5923707624997405e-13,0.0
223,100,100,True,True,1.0998977497131266,1,6.743383629270738e-13,3.371691814635369e-11,0.0
224,100,100,True,True,1.0998977523359794,2,5.450875306678427e-12,1.8074775010035182e-10,0.0
225,100,100,True,True,1.0998977549006472,1,2.924680497784493e-12,1.4623402488922466e-10,0.0
226,100,100,True,True,1.0998977582869842,1,4.720224211496316e-14,2.3601121057481578e-12,0.0
227,100,100,True,True,1.0998977595549457,1,3.531175352122772e-14,1.7655876760613862e-12,0.0
228,100,100,True,True,1.0998977615713528,1,2.5182078644547806e-14,1.2591039322273902e-12,0.0
229,100,100,True,True,1.099897763426763,2,1.9627122149756816e-12,7.779421551390442e-11,0.0
230,100,100,True,True,1.0998977650558777,1,1.2561485185358378e-12,6.280742592679189e-11,0.0
231,100,100,True,True,1.0998977675077748,1,1.0658141036401505e-16,5.329070518200752e-15,0.0
232,100,100,True,True,1.0998977683432716,0,0.0,0.0,0.0
233,100,100,True,True,1.099897769592621,0,0.0,0.0,0.0
234,100,100,True,True,1.09989777081625,2,9.873035722307577e-13,3.35036443033232e-11,0.0
235,100,100,True,True,1.0998977719408036,2,7.238498689332573e-13,3.551181571026518e-11,0.0
236,100,100,True,True,1.0998977724814825,2,5.547473591605011e-13,2.7182034401107554e-11,0.0
237,100,100,True,True,1.099897773446957,1,7.52287121486006e-15,3.76143560743003e-13,0.0
238,100,100,True,True,1.0998977749221721,1,4.105737971826784e-13,2.052868985913392e-11,0.0
239,100,100,True,True,1.099897775690859,1,3.345790311470864e-13,1.672895155735432e-11,0.0
240,100,100,True,True,1.0998977764363222,0,0.0,0.0,0.0
241,100,100,True,True,1.0998977767856393,2,1.4407586235165582e-13,6.948441821919005e-12,0.0
242,100,100,True,True,1.0998977774166259,1,2.946953792104523e-13,1.4734768960522615e-11,0.0
243,100,100,True,True,1.0998977779541026,2,4.0219605423885704e-13,1.1247558440175e-11,0.0
244,100,100,True,True,1.0998977784876642,2,3.1673330624926167e-13,8.626765968244854e-12,0.0
245,100,100,True,True,1.099897778978152,2,1.3456347147666747e-13,6.59472476627343e-12,0.0
246,100,100,True,True,1.099897779207115,0,0.0,0.0,0.0
247,100,100,True,True,1.0998977798955465,0,0.0,0.0,0.0
248,100,100,True,True,1.099897780286056,1,7.615685859718724e-14,3.807842929859362e-12,0.0
249,100,100,True,True,1.0998977806414842,2,6.374012428977949e-14,3.0980773502164993e-12,0.0
250,100,100,True,True,1.0998977809654182,1,3.419042826635632e-14,1.709521413317816e-12,0.0
251,100,100,True,True,1.0998977810801274,1,7.136513602290506e-14,3.568256801145253e-12,0.0
252,100,100,True,True,1.0998977813562807,1,5.449862783279969e-14,2.7249313916399846e-12,0.0
253,100,100,True,True,1.09989778161086,3,7.567502180449992e-14,2.0941026690479703e-12,0.0
254,100,100,True,True,1.099897781845301,1,2.6507684935950233e-14,1.3253842467975117e-12,0.0
255,100,100,True,True,1.0998977822122125,1,1.858069254012662e-14,9.29034627006331e-13,0.0
256,100,100,True,True,1.0998977824103529,1,9.769962616701378e-17,4.884981308350689e-15,0.0
257,100,100,True,True,1.099897782505121,0,0.0,0.0,0.0
258,100,100,True,True,1.0998977826437264,1,1.1803891197814664e-14,5.901945598907332e-13,0.0
259,100,100,True,True,1.099897782795936,2,3.26272342476841e-14,1.1355361095866101e-12,0.0
260,100,100,True,True,1.0998977829356194,1,7.394085344003543e-16,3.697042672001771e-14,0.0
261,100,100,True,True,1.099897783130843,1,6.439293542825908e-16,3.219646771412954e-14,0.0
262,100,100,True,True,1.0998977832505592,1,2.8199664825478977e-16,1.4099832412739488e-14,0.0
263,100,100,True,True,1.0998977833587023,1,6.021849685566849e-15,3.0109248427834245e-13,0.0
264,100,100,True,True,1.0998977834397299,1,6.565858967633176e-15,3.282929483816588e-13,0.0
265,100,100,True,True,1.0998977834736392,1,1.0436096431476471e-16,5.218048215738236e-15,0.0
266,100,100,True,True,1.0998977836740462,0,0.0,0.0,0.0
267,100,100,True,True,1.0998977837334158,1,4.11226608321158e-15,2.05613304160579e-13,0.0
268,100,100,True,True,1.099897783801896,1,6.88338275267597e-17,3.4416913763379853e-15,0.0
269,100,100,True,True,1.0998977838186221,1,4.8516746176119344e-15,2.425837308805967e-13,0.0
270,100,100,True,True,1.0998977838583013,0,0.0,0.0,0.0
271,100,100,True,True,1.0998977840120314,2,2.7422508708241366e-15,1.354472090042691e-13,0.0
272,100,100,True,True,1.0998977840599375,0,0.0,0.0,0.0
273,100,100,True,True,1.0998977840479909,0,0.0,0.0,0.0
274,100,100,True,True,1.0998977840868867,1,3.1086244689504383e-15,1.5543122344752192e-13,0.0
275,100,100,True,True,1.0998977841220605,2,7.642775301519578e-15,3.11972669919669e-13,0.0
276,100,100,True,True,1.0998977841537942,3,6.008527009271347e-15,2.128297538206425e-13,0.0
277,100,100,True,True,1.0998977841824198,1,3.4861002973229917e-16,1.7430501486614958e-14,0.0
278,100,100,True,True,1.0998977842761526,1,8.659739592076221e-17,4.3298697960381105e-15,0.0
279,100,100,True,True,1.0998977842787196,0,0.0,0.0,0.0
280,100,100,True,True,1.0998977842897038,1,5.817568649035821e-16,2.90878432451791e-14,0.0
281,100,100,True,True,1.0998977843078084,2,2.233768725545815e-15,8.859579736508749e-14,0.0
282,100,100,True,True,1.099897784323755,0,0.0,0.0,0.0
283,100,100,True,True,1.0998977843966802,2,4.3298697960381104e-16,1.3655743202889427e-14,0.0
284,100,100,True,True,1.0998977844089883,0,0.0,0.0,0.0
285,100,100,True,True,1.099897784400045,2,2.1316282072803005e-16,8.770761894538737e-15,0.0
286,100,100,True,True,1.0998977844085547,1,7.860379014346108e-16,3.930189507173054e-14,0.0
287,100,100,True,True,1.0998977843936033,1,1.638689184346731e-15,8.193445921733655e-14,0.0
288,100,100,True,True,1.0998977844003657,0,0.0,0.0,0.0
289,100,100,True,True,1.0998977844513673,0,0.0,0.0,0.0
290,100,100,True,True,1.0998977844566193,1,5.3290705182007524e-17,2.664535259100376e-15,0.0
291,100,100,True,True,1.0998977844604225,0,0.0,0.0,0.0
292,100,100,True,True,1.0998977844567877,2,8.681944052568724e-16,3.352873534367973e-14,0.0
293,100,100,True,True,1.0998977844587214,1,8.548717289613705e-16,4.274358644806852e-14,0.0
294,100,100,True,True,1.0998977844524476,1,2.6645352591003756e-17,1.3322676295501878e-15,0.0
295,100,100,True,True,1.0998977844878566,0,0.0,0.0,0.0
296,100,100,True,True,1.0998977844794176,0,0.0,0.0,0.0
297,100,100,True,True,1.0998977844794238,0,0.0,0.0,0.0
298,100,100,True,True,1.099897784478909,0,0.0,0.0,0.0
299,100,100,True,True,1.0998977844779851,1,7.771561172376096e-16,3.885780586188048e-14,0.0
300,100,100,True,True,1.0998977844767557,0,0.0,0.0,0.0
301,100,100,True,True,1.0998977845016829,0,0.0,0.0,0.0
302,100,100,True,True,1.0998977845000197,1,1.5765166949677222e-16,7.882583474838611e-15,0.0
303,100,100,True,True,1.0999023164635318,1,8.659739592076221e-17,4.3298697960381105e-15,0.0
304,100,100,True,True,1.0999043797715833,0,0.0,0.0,0.0
305,100,100,True,True,1.0999046400010277,0,0.0,0.0,0.0
306,100,100,True,True,1.099904864321446,0,0.0,0.0,0.0
307,100,100,True,True,1.0999050619085968,0,0.0,0.0,0.0
308,100,100,True,True,1.0999052378213239,0,0.0,0.0,0.0
309,100,100,True,True,1.0999053957578762,0,0.0,0.0,0.0
