case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,45,A,100,17,0.17,45.14048566967073,44.352215520665204,8.731899688590158,20.0,0.4365949844295079,1.0,0.17,0.04747804793310184,0.004821441868944731,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,45,B,100,4,0.04,155.30170854272467,154.7251940841826,9.7326494268869,20.0,0.48663247134434495,1.0,0.04,0.004821441868944731,0.04747804793310184,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,46,A,100,23,0.23,45.818707570036764,45.05363314079769,8.721011307719715,20.0,0.43605056538598574,1.0,0.23,0.06612474007973546,0.007330497310168882,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,46,B,100,6,0.06,154.62794947803752,154.01110203891653,9.731276951509301,20.0,0.48656384757546506,1.0,0.06,0.007330497310168882,0.06612474007973546,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,47,A,100,23,0.23,46.5258699297395,45.73257009772337,8.711505719277717,20.0,0.43557528596388584,1.0,0.23,0.06805546503109328,0.007228909060367883,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,47,B,100,6,0.06,153.94897295129033,153.29087762364142,9.719606356909537,20.0,0.48598031784547685,1.0,0.06,0.007228909060367883,0.06805546503109328,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,48,A,100,12,0.12,47.21970177412962,46.4171695511594,8.709051005874931,20.0,0.4354525502937466,1.0,0.12,0.0366988002597729,0.013262430004316483,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,48,B,100,11,0.11,153.26241516338564,152.58097611212494,9.701926982660883,20.0,0.4850963491330441,1.0,0.11,0.013262430004316483,0.0366988002597729,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,49,A,100,19,0.19,47.90799523451826,47.10210313711296,8.713392384866955,20.0,0.43566961924334774,1.0,0.19,0.0595074299977596,0.007140212959093506,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,49,B,100,6,0.06,152.58314251723638,151.87050417300773,9.702588345332066,20.0,0.4851294172666033,1.0,0.06,0.007140212959093506,0.0595074299977596,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,50,A,100,12,0.12,48.5865443518021,47.794729720293944,8.703256223187893,20.0,0.43516281115939465,1.0,0.12,0.038267717264448,0.010805073488133643,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,50,B,100,9,0.09,151.91264133989569,151.15907462463673,9.708336291057314,20.0,0.4854168145528657,1.0,0.09,0.010805073488133643,0.038267717264448,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,51,A,100,9,0.09,49.2766846271473,48.48354675806299,8.702568713144629,20.0,0.43512843565723147,1.0,0.09,0.02964363425625194,0.026120864083576167,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,51,B,100,22,0.22,151.2365548268794,150.45171388921847,9.703029612307335,20.0,0.4851514806153667,1.0,0.22,0.026120864083576167,0.02964363425625194,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,52,A,100,13,0.13,49.970862472959794,49.176047089766335,8.68519355633744,20.0,0.434259677816872,1.0,0.13,0.04430541658602927,0.009518397584949434,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,52,B,100,8,0.08,150.57069891804872,149.74138529327968,9.708743021435463,20.0,0.48543715107177315,1.0,0.08,0.009518397584949434,0.04430541658602927,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,53,A,100,20,0.2,50.648557138481145,49.86969327038016,8.68053596348273,20.0,0.43402679817413653,1.0,0.2,0.07015456621192862,0.008344937806906483,0.5555555555555556,1
