case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,28,B,100,0,76,0.76,99,0.99,168.59658054171297,168.7395814170082,7.3705267755388535,20.0,0.3685263387769427,1.0,0.76,0.99,1.672648665322377,1.76162464674435,2.2569626921220225,0.47324981328737836,0.4695802948310218,0.5555555555555556,0
FR8_MB8_PD5,8.0,8.0,5.0,29,A,100,0,72,0.72,98,0.98,32.01668729166555,31.810097992830496,7.283052108769229,20.0,0.36415260543846145,1.0,0.72,0.98,1.6468447663000407,1.7095312447785265,2.2959861785713125,0.4446880898195299,0.4723113977059067,0.5555555555555556,0
FR8_MB8_PD5,8.0,8.0,5.0,29,B,100,0,79,0.79,98,0.98,168.05778618295676,168.19752279958743,7.315412453167413,20.0,0.3657706226583707,1.0,0.79,0.98,1.6513551132377264,1.7291829850341982,2.3099224367309543,0.4723113977059067,0.4446880898195299,0.5555555555555556,0
FR8_MB8_PD5,8.0,8.0,5.0,30,A,100,0,80,0.8,99,0.99,32.56428190040788,32.34584468953224,7.231780482451972,20.0,0.36158902412259863,1.0,0.8,0.99,1.6342991510350366,1.6698636671524079,2.146021172893226,0.47245821147502687,0.4292459368461503,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,30,B,100,0,74,0.74,96,0.96,167.48506065600694,167.6963106088724,7.291051400269615,20.0,0.36455257001348074,1.0,0.74,0.96,1.619513185056315,1.7269126553649816,2.1986812798145086,0.4292459368461503,0.47245821147502687,0.5555555555555556,0
FR8_MB8_PD5,8.0,8.0,5.0,31,A,100,0,79,0.79,99,0.99,33.1180661735429,32.884154085038446,7.211830739128455,20.0,0.36059153695642276,1.0,0.79,0.99,1.6380437002438206,1.716137828823331,2.1655460518622536,0.42724252660261175,0.3802632110545672,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,31,B,100,0,73,0.73,98,0.98,166.94920383454541,167.16363729157035,7.252412646321515,20.0,0.3626206323160758,1.0,0.73,0.98,1.6334413311000378,1.7365150492546244,2.3873469669236087,0.3802632110545672,0.42724252660261175,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,32,A,100,0,74,0.74,99,0.99,33.65473709361987,33.49170513272341,7.250015384850923,20.0,0.36250076924254615,1.0,0.74,0.99,1.6220823146866927,1.6526249164280211,2.2251101916776057,0.37571231707094876,0.35867050308725634,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,32,B,100,0,75,0.75,97,0.97,166.3956047243078,166.61958574090335,7.259325327290976,20.0,0.3629662663645488,1.0,0.75,0.97,1.5790977804239137,1.7034774964046369,2.4198193313442156,0.35867050308725634,0.37571231707094876,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,33,A,100,0,76,0.76,98,0.98,34.214173826920174,34.040524523903706,7.260123560198604,20.0,0.3630061780099302,1.0,0.76,0.98,1.5942906761200137,1.65798617300572,2.05741888499013,0.37625214425897135,0.3371316365514363,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,33,B,100,0,76,0.76,98,0.98,165.83951349489504,166.06003791914395,7.259157640269758,20.0,0.3629578820134879,1.0,0.76,0.98,1.606785153743095,1.7184703493322169,2.301930859913714,0.3371316365514363,0.37625214425897135,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,34,A,100,0,69,0.69,98,0.98,34.77122470375221,34.64767749167115,7.329370792241113,20.0,0.3664685396120556,1.0,0.69,0.98,1.6755904251254505,1.785659867893296,2.4432513297408,0.3316521899435988,0.30431635241250776,0.5555555555555556,1
